name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Lady Gaga,ladygaga,'14230524',false,2008-03-26 18:37:48,JAZZ & PIANO 🎺🎼 JUNE 19 - JULY 6 | HAUS LABS 💄 @hauslabs | THE CHROMATICA BALL ⚔️💓 | JOKER: FOLIE À DEUX 🃏 OCTOBER 4,9956,83395318,112446,2922,,2006,https://pbs.twimg.com/profile_banners/14230524/1690808625,https://www.twitter.com/ladygaga,https://pbs.twimg.com/profile_images/1548557958564364289/6ewE00_O_normal.jpg,false,true
It's On Us,ItsOnUs,'2840712124',true,2014-10-21 17:24:07,Changing the culture around campus sexual assault. #ItsOnUs,11481,33867,1224,6974,United States,1866,https://pbs.twimg.com/profile_banners/2840712124/1713204952,https://www.twitter.com/ItsOnUs,https://pbs.twimg.com/profile_images/1779936692545171457/VwGK1ICJ_normal.jpg,false,false
Dr. Jill Biden,DrBiden,'821784477076750338',true,2017-01-18 13:21:02,Lifelong educator. Military mother. Grandmother. Sister. Wife to @JoeBiden.,963,3641607,26,413,,365,https://pbs.twimg.com/profile_banners/821784477076750338/1682426132,https://www.twitter.com/DrBiden,https://pbs.twimg.com/profile_images/1334146854414667777/P1NgFO9L_normal.jpg,false,true
Biden Institute,UDBidenInst,'869995492687716354',false,2017-05-31 15:14:24,"The Biden Institute works to tackle our nation's most pressing domestic issues while promoting economic justice, social justice, and civic responsibility.",1141,29950,88,527,"Newark, DE",658,https://pbs.twimg.com/profile_banners/869995492687716354/1503513700,https://www.twitter.com/UDBidenInst,https://pbs.twimg.com/profile_images/909775558543904769/VpuPXov__normal.jpg,false,false
Biden Cancer,BidenCancer,'861976361853964288',false,2017-05-09 12:09:14,"Accelerating progress in #cancer prevention, detection, diagnosis, research and care through collaboration.",888,22892,124,871,"Washington, DC",189,https://pbs.twimg.com/profile_banners/861976361853964288/1537498141,https://www.twitter.com/BidenCancer,https://pbs.twimg.com/profile_images/1120783776928403456/vnvqAGgP_normal.png,false,false
Penn Biden Center,PennBiden,'831600619332968449',false,2017-02-14 15:26:52,"The @Penn Biden Center for Diplomacy and Global Engagement believes that a democratic, open, secure, tolerant, and interconnected world benefits all Americans.",1553,24406,35,143,"Washington, DC",267,https://pbs.twimg.com/profile_banners/831600619332968449/1490199374,https://www.twitter.com/PennBiden,https://pbs.twimg.com/profile_images/940974107792875520/7E4xCf50_normal.jpg,false,false
The Obama Foundation,ObamaFoundation,'2293315159',false,2014-01-15 15:02:36,"Our mission is to inspire people to take action, empower them to change their world for the better, and connect them so they can achieve more together.",3377,1101988,89,966,,1734,https://pbs.twimg.com/profile_banners/2293315159/1572892194,https://www.twitter.com/ObamaFoundation,https://pbs.twimg.com/profile_images/1213134508964425728/D2ZX7SLU_normal.jpg,false,true
Livelihood,livelihood2017,'823885566232109057',false,2017-01-24 08:30:00,#KeepYourHoodUp,50,7965,50,162,"Delaware, USA",2,https://pbs.twimg.com/profile_banners/823885566232109057/1487033183,https://www.twitter.com/livelihood2017,https://pbs.twimg.com/profile_images/831301432376688640/dCfpTpZF_normal.jpg,false,false
Biden Foundation,bidenfoundation,'4636121783',false,2015-12-28 16:10:41,"Effective April 25, 2019, the Biden Foundation suspended operations.",1023,94662,24,202,,208,https://pbs.twimg.com/profile_banners/4636121783/1498491255,https://www.twitter.com/bidenfoundation,https://pbs.twimg.com/profile_images/888436476316233729/bjzVzVgz_normal.jpg,false,false
Tim Kaine,timkaine,'172858784',false,2010-07-30 16:00:32,"Anne Holton’s husband, Dad of 3, Stone Irish, public servant, musician, civil rights lawyer, backpacker.
 
Text (804) 587-7004 to join our campaign.",12601,938136,779,893,"Richmond, VA",2200,https://pbs.twimg.com/profile_banners/172858784/1703168932,https://www.twitter.com/timkaine,https://pbs.twimg.com/profile_images/1772632114657173505/fxIJLQcK_normal.jpg,false,false
Hillary Clinton,HillaryClinton,'1339835893',false,2013-04-09 14:04:35,"2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x3, lawyer, advocate, fan of walks in the woods & standing up for our democracy.",14337,31144412,996,1177,"New York, NY",3970,https://pbs.twimg.com/profile_banners/1339835893/1539631689,https://www.twitter.com/HillaryClinton,https://pbs.twimg.com/profile_images/1291192333199958017/SvH8J8_P_normal.jpg,false,true
Dr. Biden -Archived,DrBiden44,'1281405877',false,2013-03-19 16:08:31,This is an archive of an Obama Administration account maintained by the National Archives and Records Administration (NARA).,1628,187937,395,64,"Washington, DC",320,https://pbs.twimg.com/profile_banners/1281405877/1432320875,https://www.twitter.com/DrBiden44,https://pbs.twimg.com/profile_images/608687663034474496/wvzVG_yt_normal.jpg,false,false
The White House 45 Archived,WhiteHouse45,'822215673812119553',false,2017-01-19 17:54:27,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.",24047,24260277,12,19,"Washington, D.C.",8422,https://pbs.twimg.com/profile_banners/822215673812119553/1603063964,https://www.twitter.com/WhiteHouse45,https://pbs.twimg.com/profile_images/1059888693945630720/yex0Gcbi_normal.jpg,false,true
White House Archived,ObamaWhiteHouse,'30313925',false,2009-04-10 17:10:30,This is an archive of an Obama Administration account maintained by the National Archives and Records Administration (NARA).,28177,11673877,225,0,"Washington, DC",7147,https://pbs.twimg.com/profile_banners/30313925/1484883412,https://www.twitter.com/ObamaWhiteHouse,https://pbs.twimg.com/profile_images/747463206759698432/c8cVVWhj_normal.jpg,false,true
Vice President Mike Pence Archived,VP45,'818910970567344128',false,2017-01-10 15:02:44,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.",9370,9474363,15,19,"Washington, D.C.",3511,https://pbs.twimg.com/profile_banners/818910970567344128/1580944734,https://www.twitter.com/VP45,https://pbs.twimg.com/profile_images/951600999902281728/s-3S8iBE_normal.jpg,false,true
VP Biden (Archived),VP44,'325830217',false,2011-06-28 19:07:42,This is an archive of an Obama Administration account maintained by the National Archives and Records Administration (NARA).,3643,2276545,128,11,"Washington, D.C.",1137,https://pbs.twimg.com/profile_banners/325830217/1464973756,https://www.twitter.com/VP44,https://pbs.twimg.com/profile_images/464835807837044737/vO0cnKR1_normal.jpeg,false,true
Beau Biden Foundation,BeauBidenFdn,'142894598',false,2010-05-11 21:27:36,"501(c)(3) nonprofit organization honoring Beau Biden's life's work to protect children and confront abuse.
https://t.co/m1MXV35YHk…",2633,43940,323,246,Delaware,865,https://pbs.twimg.com/profile_banners/142894598/1692629820,https://www.twitter.com/BeauBidenFdn,https://pbs.twimg.com/profile_images/1166078592880697346/c9OZZ1-j_normal.jpg,false,false
The Democrats,TheDemocrats,'14377605',true,2008-04-13 16:23:13,"We’re fighting for a better, fairer, and brighter future for every American.",43470,2380308,77,1297,"Washington, D.C.",12881,https://pbs.twimg.com/profile_banners/14377605/1689609214,https://www.twitter.com/TheDemocrats,https://pbs.twimg.com/profile_images/1535252901970317315/FrdN7_ry_normal.jpg,false,true
Michelle Obama,MichelleObama,'409486555',false,2011-11-10 15:13:01,"Girl from the South Side and former First Lady. Wife, mother, dog lover. Always hugger-in-chief. #TheLightWeCarry",2388,22077111,18,308,"Washington, DC",760,https://pbs.twimg.com/profile_banners/409486555/1713271088,https://www.twitter.com/MichelleObama,https://pbs.twimg.com/profile_images/1762836277567631360/wECMw3TT_normal.jpg,false,true
Barack Obama,BarackObama,'813286',false,2007-03-05 17:08:25,"Dad, husband, President, citizen.",17016,131870745,542985,10,"Washington, DC",2626,https://pbs.twimg.com/profile_banners/813286/1712782825,https://www.twitter.com/BarackObama,https://pbs.twimg.com/profile_images/1329647526807543809/2SGvnHYV_normal.jpg,false,true
